Customer_ID,Age,Tenure_Months,Subscription_Plan,Billing_Frequency,Monthly_Charges,Login_Count_30D,Login_Count_7D,Usage_Minutes_30D,Usage_Minutes_7D,Avg_Session_Minutes_30D,Avg_Session_Minutes_7D,Support_Tickets,Open_Tickets,Avg_Resolution_Hours,Payment_Delays,Discount_Percent,NPS_Score,Days_Since_Last_Login,Churn
CUST10101,25.0,25,Basic,Quarterly,244.09,20,11,207,129,23.3,22.2,6,0,20.8,2,0,25.0,16,1
CUST10102,41.0,43,Basic,Monthly,401.3,13,8,210,168,18.7,18.3,1,0,13.9,1,20,0.0,5,0
CUST10103,28.0,19,Standard,Annual,636.08,20,2,223,71,22.1,10.3,3,1,49.0,1,0,-10.0,11,1
CUST10104,34.0,5,Standard,Annual,660.44,16,14,253,180,12.0,12.8,1,0,2.6,0,0,32.0,8,0
CUST10105,25.0,11,Basic,Monthly,367.53,12,6,250,48,7.0,4.1,1,1,49.6,0,5,26.0,14,1
CUST10106,52.0,12,Basic,Annual,504.91,13,7,242,50,12.4,10.5,2,2,11.6,1,0,94.0,10,1
CUST10107,52.0,10,Standard,Monthly,638.32,13,12,227,237,15.6,16.4,6,1,26.4,0,10,51.0,13,1
CUST10108,50.0,8,Premium,Monthly,1249.28,14,13,258,171,16.8,16.8,0,0,20.6,3,0,37.0,7,0
CUST10109,22.0,24,Premium,Monthly,1262.82,26,20,233,232,15.1,13.1,0,0,23.3,3,5,58.0,10,0
CUST10110,59.0,28,Standard,Monthly,570.39,16,16,204,167,5.2,5.2,4,3,49.3,0,15,68.0,6,1
CUST10111,56.0,41,Standard,Quarterly,665.16,8,4,218,41,14.2,11.4,3,0,14.8,1,10,72.0,8,0
CUST10112,58.0,36,Basic,Monthly,480.65,19,17,209,209,18.2,16.4,3,1,11.7,3,0,48.0,8,0
CUST10113,45.0,37,Standard,Quarterly,626.69,8,7,206,210,16.5,17.1,4,1,17.1,0,10,41.0,8,0
CUST10114,24.0,21,Standard,Quarterly,764.91,18,7,218,43,15.8,7.5,1,1,11.5,0,0,46.0,5,0
CUST10115,26.0,8,Standard,Quarterly,698.02,16,10,235,170,15.2,16.7,3,0,22.2,2,5,41.0,4,1
CUST10116,25.0,9,Standard,Monthly,695.64,20,19,227,180,18.3,17.5,3,1,24.7,0,5,29.0,12,0
CUST10117,29.0,47,Basic,Annual,402.82,17,16,248,213,11.7,10.0,1,1,22.6,0,10,68.0,10,0
CUST10118,51.0,15,Basic,Monthly,417.84,24,20,224,216,16.5,15.8,4,1,50.3,1,5,37.0,11,1
CUST10119,50.0,48,Basic,Monthly,346.44,20,15,254,223,15.6,15.8,0,0,12.3,0,0,17.0,5,0
CUST10120,65.0,46,Basic,Monthly,384.68,10,6,252,185,10.5,11.3,1,0,78.1,0,5,43.0,11,1
CUST10121,40.0,40,Basic,Monthly,419.38,10,7,247,187,16.9,18.3,3,1,23.0,1,5,60.0,8,0
CUST10122,41.0,18,Premium,Annual,1208.73,15,8,253,62,6.1,3.5,4,1,5.1,0,10,6.0,5,1
CUST10123,54.0,42,Standard,Monthly,718.21,15,12,254,257,13.9,14.1,0,0,9.7,0,0,35.0,9,0
CUST10124,52.0,20,Standard,Quarterly,659.47,15,8,236,64,20.0,10.3,3,3,29.2,1,15,22.0,10,0
CUST10125,61.0,6,Premium,Monthly,1233.78,9,5,227,191,20.5,17.4,3,0,40.7,1,0,97.0,7,1
CUST10126,57.0,12,Premium,Monthly,1205.96,17,14,224,221,18.1,17.0,3,1,23.2,0,10,44.0,12,0
CUST10127,39.0,2,Standard,Annual,612.06,12,9,236,179,19.3,20.8,1,0,18.6,1,0,81.0,4,0
CUST10128,44.0,7,Premium,Quarterly,1169.77,11,3,237,76,21.7,12.7,1,0,7.8,3,10,48.0,4,1
CUST10129,52.0,16,Basic,Monthly,349.75,14,14,241,229,18.6,18.0,0,0,25.5,0,10,50.0,6,0
CUST10130,18.0,3,Basic,Monthly,349.04,9,2,201,101,25.1,11.7,1,1,10.4,1,5,40.0,8,0
CUST10131,52.0,45,Standard,Monthly,672.79,18,19,232,175,5.3,4.8,1,0,5.4,0,5,36.0,7,0
CUST10132,54.0,3,Standard,Monthly,732.74,20,16,223,200,22.9,22.7,2,2,27.8,1,10,40.0,6,0
CUST10133,64.0,27,Standard,Quarterly,664.53,21,13,220,167,5.0,5.3,2,0,13.3,0,10,26.0,9,0
CUST10134,31.0,43,Basic,Quarterly,411.38,23,2,238,44,14.2,10.8,2,0,18.8,1,10,42.0,3,1
CUST10135,20.0,40,Basic,Monthly,402.36,9,6,232,197,22.4,19.9,2,0,12.5,2,15,1.0,12,1
CUST10136,18.0,38,Standard,Annual,656.15,19,16,269,168,21.7,22.0,1,0,49.9,3,0,46.0,5,0
CUST10137,22.0,33,Basic,Monthly,380.04,19,19,234,177,12.2,11.2,1,0,8.0,0,0,12.0,14,0
CUST10138,43.0,28,Standard,Monthly,746.57,13,12,246,139,17.7,15.8,6,3,7.7,1,20,44.0,14,0
CUST10139,31.0,1,Standard,Monthly,707.24,14,6,234,71,14.4,7.9,5,3,36.1,1,15,50.0,10,1
CUST10140,56.0,8,Standard,Quarterly,729.19,13,9,226,182,23.1,22.5,4,2,1.8,0,5,77.0,8,0
CUST10141,44.0,37,Standard,Monthly,768.99,11,6,233,195,17.5,17.5,1,1,63.1,0,0,50.0,9,0
CUST10142,26.0,32,Premium,Monthly,1222.92,15,10,215,134,14.1,15.2,2,1,25.0,0,15,35.0,9,1
CUST10143,32.0,48,Standard,Monthly,593.36,16,10,229,212,20.3,19.9,3,1,33.7,2,10,26.0,10,0
CUST10144,32.0,43,Standard,Monthly,713.88,17,6,233,125,21.5,14.7,2,1,20.0,2,20,60.0,6,1
CUST10145,43.0,37,Standard,Annual,665.0,17,15,232,234,16.8,15.1,1,0,7.5,1,0,40.0,7,0
CUST10146,59.0,4,Basic,Monthly,498.57,12,5,224,119,21.9,11.2,1,0,26.8,2,0,23.0,6,1
CUST10147,30.0,30,Basic,Monthly,420.96,17,10,227,142,27.4,27.7,2,1,43.1,2,5,46.0,6,1
CUST10148,49.0,6,Basic,Quarterly,366.14,17,12,244,227,5.5,5.0,4,2,9.1,0,15,-4.0,8,0
CUST10149,56.0,46,Standard,Annual,730.16,11,8,201,168,25.2,25.7,2,0,17.0,2,20,44.0,12,0
CUST10150,49.0,19,Standard,Annual,703.99,17,10,225,167,26.6,24.0,2,0,10.3,1,0,22.0,9,1
CUST10151,21.0,32,Premium,Monthly,1104.51,11,4,204,37,20.7,16.4,4,2,29.0,0,0,34.0,11,0
CUST10152,47.0,9,Basic,Monthly,446.47,12,4,244,63,16.1,11.4,2,1,26.0,1,0,92.0,9,1
CUST10153,54.0,12,Basic,Monthly,376.7,14,2,253,149,8.6,6.7,3,3,57.6,1,15,30.0,5,1
CUST10154,40.0,11,Premium,Monthly,1277.13,14,2,228,65,18.3,10.8,3,0,11.2,2,5,62.0,12,1
CUST10155,56.0,46,Basic,Annual,392.16,18,14,246,197,15.6,16.9,2,1,31.8,1,15,68.0,7,0
CUST10156,62.0,16,Standard,Monthly,778.16,8,3,249,31,9.7,7.9,2,1,24.7,0,0,63.0,7,1
CUST10157,32.0,1,Standard,Monthly,722.37,20,12,240,227,14.1,15.0,3,0,32.9,0,0,51.0,12,0
CUST10158,60.0,45,Standard,Monthly,752.58,13,13,242,137,17.8,15.2,0,0,11.2,0,5,14.0,4,0
CUST10159,42.0,21,Basic,Monthly,371.95,10,6,244,242,19.6,18.5,1,0,3.9,1,0,26.0,12,0
CUST10160,53.0,30,Basic,Quarterly,418.42,10,6,224,174,11.9,10.2,1,1,17.3,0,5,13.0,12,1
CUST10161,30.0,13,Basic,Monthly,304.06,12,7,235,152,3.7,3.4,3,2,18.8,2,15,33.0,5,1
CUST10162,49.0,34,Standard,Monthly,692.01,14,3,191,89,16.5,11.5,1,1,55.1,0,5,33.0,11,1
CUST10163,24.0,4,Standard,Monthly,617.35,11,9,254,181,12.5,13.3,3,0,10.3,3,10,19.0,11,1
CUST10164,39.0,28,Basic,Monthly,336.14,6,6,269,182,15.4,15.0,1,1,28.0,0,0,56.0,6,0
CUST10165,45.0,38,Standard,Monthly,650.01,14,13,243,153,5.7,5.8,3,2,5.6,3,5,30.0,6,0
CUST10166,19.0,31,Premium,Quarterly,1235.32,13,2,253,55,16.1,13.4,1,1,13.3,0,5,33.0,8,0
CUST10167,59.0,27,Basic,Monthly,390.9,14,12,238,142,20.2,20.2,4,1,9.3,0,0,3.0,11,0
CUST10168,62.0,5,Standard,Quarterly,700.73,13,2,236,30,15.3,6.9,3,1,25.3,2,0,44.0,6,1
CUST10169,23.0,25,Standard,Annual,689.4,13,12,214,168,18.6,17.2,1,0,18.3,0,10,40.0,6,0
CUST10170,45.0,3,Basic,Annual,458.44,18,17,208,161,16.2,17.6,2,0,21.2,1,0,27.0,4,1
CUST10171,45.0,33,Basic,Annual,399.22,20,17,220,121,6.2,5.6,2,0,10.2,1,0,52.0,10,0
CUST10172,61.0,4,Standard,Monthly,712.69,17,15,232,222,18.5,20.0,2,1,3.5,1,0,45.0,13,0
CUST10173,61.0,25,Premium,Monthly,1167.64,15,14,236,188,13.3,11.4,4,1,11.7,1,15,57.0,12,0
CUST10174,37.0,20,Premium,Monthly,1262.22,17,10,220,169,10.1,9.9,3,1,27.8,1,10,58.0,11,0
CUST10175,47.0,34,Standard,Annual,766.34,16,9,237,40,22.1,16.1,4,2,30.5,1,10,60.0,10,1
CUST10176,28.0,26,Standard,Annual,696.97,17,15,225,131,19.6,19.7,4,3,21.9,2,0,84.0,5,0
CUST10177,45.0,5,Standard,Annual,666.86,13,13,240,176,14.3,14.2,2,2,30.0,0,0,45.0,7,0
CUST10178,42.0,35,Standard,Monthly,610.12,19,10,224,98,17.1,9.5,2,1,8.8,0,0,18.0,7,0
CUST10179,56.0,28,Standard,Annual,651.23,16,17,215,168,19.0,17.5,0,0,18.6,0,5,31.0,8,0
CUST10180,50.0,29,Basic,Monthly,279.81,15,10,230,147,7.8,6.7,0,0,35.2,0,10,32.0,7,1
CUST10181,18.0,9,Standard,Monthly,648.91,7,2,240,119,11.2,5.8,3,0,6.3,1,0,19.0,9,1
CUST10182,44.0,38,Standard,Monthly,718.63,14,10,234,164,11.4,10.2,1,0,12.4,0,5,-10.0,11,1
CUST10183,30.0,6,Standard,Monthly,696.23,18,18,226,236,21.0,22.7,3,1,13.8,0,0,48.0,8,0
CUST10184,58.0,19,Premium,Monthly,1326.78,4,3,226,161,27.4,29.1,2,1,9.0,0,0,43.0,4,0
CUST10185,20.0,44,Basic,Monthly,378.59,16,13,212,138,21.5,20.0,1,0,5.5,0,10,90.0,8,0
CUST10186,56.0,11,Basic,Monthly,374.3,14,9,246,236,18.7,19.8,3,2,41.2,2,10,88.0,9,1
CUST10187,23.0,2,Basic,Quarterly,457.45,19,4,243,66,11.8,8.7,3,2,27.2,2,0,59.0,7,1
CUST10188,25.0,47,Standard,Annual,593.02,12,12,248,191,22.4,20.2,5,0,17.1,1,15,56.0,9,0
CUST10189,44.0,44,Standard,Quarterly,617.5,16,11,249,205,15.8,16.5,1,0,10.7,1,0,21.0,4,0
CUST10190,26.0,44,Basic,Monthly,435.51,15,7,263,99,11.9,6.8,4,4,5.7,1,15,47.0,5,0
CUST10191,54.0,9,Standard,Annual,688.25,9,9,247,209,22.3,19.3,3,1,11.3,2,5,39.0,8,0
CUST10192,50.0,21,Standard,Annual,689.51,18,9,226,134,26.0,12.5,2,0,33.9,0,5,46.0,9,0
CUST10193,59.0,24,Standard,Monthly,647.46,21,19,231,222,22.4,24.6,5,1,47.1,1,5,23.0,4,0
CUST10194,61.0,34,Standard,Monthly,712.19,13,9,216,140,32.3,32.0,3,1,42.3,0,15,52.0,6,0
CUST10195,41.0,22,Standard,Monthly,654.56,14,2,209,31,13.4,10.2,2,1,11.3,0,0,8.0,11,0
CUST10196,32.0,3,Premium,Monthly,1203.0,13,11,225,143,15.2,14.3,2,0,6.9,0,5,100.0,12,0
CUST10197,49.0,12,Basic,Quarterly,335.28,14,13,222,207,12.7,12.9,5,3,14.7,0,0,78.0,4,0
CUST10198,49.0,28,Basic,Annual,388.97,19,14,223,188,12.7,13.0,1,1,19.1,0,15,75.0,6,0
CUST10199,41.0,30,Standard,Monthly,810.37,14,8,226,210,26.4,28.3,1,1,21.4,3,0,10.0,15,0
CUST10200,58.0,26,Premium,Annual,1175.63,15,8,217,88,11.4,7.4,1,1,14.2,1,10,1.0,1,0
CUST10201,29.0,48,Standard,Annual,691.75,11,10,212,128,14.7,15.7,5,0,9.3,0,0,49.0,7,0
CUST10202,56.0,21,Basic,Annual,387.86,26,18,222,156,25.6,25.9,3,1,40.7,0,10,34.0,10,1
CUST10203,19.0,28,Basic,Monthly,408.6,13,10,227,182,20.3,19.6,3,0,25.3,0,0,88.0,7,0
CUST10204,20.0,26,Standard,Annual,724.75,10,6,234,164,11.9,12.1,0,0,16.6,1,0,58.0,2,0
CUST10205,54.0,33,Basic,Monthly,413.15,18,13,260,170,17.5,17.8,3,2,12.0,0,0,41.0,7,0
CUST10206,34.0,21,Standard,Monthly,714.36,13,11,194,191,7.8,7.1,3,1,10.5,1,20,79.0,8,0
CUST10207,19.0,35,Premium,Monthly,1189.05,21,17,223,206,16.8,16.4,8,2,50.5,0,0,47.0,7,1
CUST10208,19.0,34,Standard,Monthly,704.52,20,13,235,170,18.5,16.7,4,1,2.4,1,20,48.0,9,0
CUST10209,45.0,41,Standard,Quarterly,687.23,15,14,236,220,18.8,20.3,3,1,17.5,0,0,68.0,6,0
CUST10210,40.0,47,Standard,Monthly,599.32,27,7,237,66,29.3,22.0,4,1,42.9,0,0,25.0,5,1
CUST10211,54.0,18,Basic,Monthly,543.68,11,9,214,118,22.5,23.6,4,2,21.7,1,0,67.0,3,1
CUST10212,49.0,11,Premium,Monthly,1239.05,16,11,212,157,11.0,10.4,4,0,34.1,1,5,56.0,4,1
CUST10213,50.0,23,Standard,Quarterly,645.14,14,11,214,149,18.7,19.4,3,0,32.1,0,5,19.0,2,0
CUST10214,18.0,48,Standard,Monthly,711.65,14,9,227,150,17.6,15.9,2,0,35.7,0,5,91.0,10,0
CUST10215,36.0,22,Standard,Annual,624.96,19,3,214,30,29.2,16.6,0,0,86.2,1,0,31.0,8,1
CUST10216,19.0,17,Standard,Monthly,671.82,13,10,203,207,15.4,13.7,2,1,32.6,0,0,1.0,9,0
CUST10217,61.0,5,Standard,Monthly,617.49,18,5,237,123,18.8,15.8,1,0,4.5,0,0,23.0,10,1
CUST10218,43.0,44,Basic,Monthly,396.18,14,8,238,232,19.6,17.2,3,1,58.3,0,10,16.0,8,0
CUST10219,49.0,11,Premium,Monthly,1112.03,14,11,264,173,11.6,11.4,6,2,29.0,1,0,47.0,7,0
CUST10220,23.0,30,Premium,Monthly,1220.36,14,9,228,145,8.9,9.3,2,1,32.8,1,5,83.0,5,0
CUST10221,49.0,15,Standard,Monthly,736.52,21,18,207,206,16.6,17.3,2,2,7.2,2,0,48.0,12,0
